color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
,Brandon Landers,,143,8,8,Alana Kaniewski,720,,Drama|Horror|Thriller,Robbie Barnes,The Ridges ,125,770,Brandon Landers,0,avatar|college|death|tron|university,http://www.imdb.com/title/tt1781935/?ref_=fn_tt_tt_1,8,English,USA,,17350,2011,19,3.0,,33
,Pece Dingo,1,94,,87,Wilhelm von Homburg,156,,Horror,Michael Des Barres,Midnight Cabaret ,47,544,Thom Mathews,0,cigarette smoking|death|devil|nightmare|satanic cult,http://www.imdb.com/title/tt0100146/?ref_=fn_tt_tt_1,4,English,USA,R,,1990,102,4.5,,4
,Jonathan Meyers,1,111,,426,Luke Perry,657,,Drama,Justin Baldoni,A Fine Step ,207,2677,Leonor Varela,0,
,,95,54,,,Royce Johnson,577,,Action|Adventure|Crime|Drama|Sci-Fi|Thriller,Elden Henson,"10,000 B.C. ",6,5,,0,,http://www.imdb.com/title/tt1869849/?ref_=fn_tt_tt_1,0,,,,,,0,7.2,,0
,Tung-Shing Yee,53,119,3,19,Daniel Wu,556,,Action|Crime|Drama|Thriller,Bingbing Fan,Shinjuku Incident ,9177,996,Yasuaki Kurata,4,chinese|gang|gratitude|immigrant|japan,http://www.imdb.com/title/tt1075419/?ref_=fn_tt_tt_1,53,Mandarin,Hong Kong,R,15000000,2009,353,7.1,2.35,821
,Charles Matthau,13,90,139,1000,Michael Jai White,2000,,Comedy|Crime|Thriller,Billy Burke,Freaky Deaky ,6741,6569,Bill Duke,0,black panties|bomb squad|car bomb|dynamite|girl in panties,http://www.imdb.com/title/tt0938305/?ref_=fn_tt_tt_1,11,English,USA,R,6000000,2012,2000,6.5,,0
,Dave Rodriguez,9,98,11,636,Michael Rapaport,979,,Comedy|Drama,Chazz Palminteri,Once Upon a Time in Queens ,291,4036,Paul Sorvino,2,,http://www.imdb.com/title/tt1639397/?ref_=fn_tt_tt_1,7,English,USA,R,1500000,2013,975,6.3,1.89,283
Black and White,David Sington,107,100,90,65,Buzz Aldrin,168,1134049,Documentary|History,John F. Kennedy,In the Shadow of the Moon ,5475,408,Neil Armstrong,0,1960s|astronaut|moon|nasa|spacecraft accident,http://www.imdb.com/title/tt0925248/?ref_=fn_tt_tt_1,44,English,UK,PG,2000000,2007,142,8.1,1.85,0
Black and White,Paul Bunnell,94,106,5,356,Kevin McCarthy,416,2436,Comedy|Fantasy|Musical|Sci-Fi,Kate Maberly,The Ghastly Love of Johnny X ,344,1611,Paul Williams,2,1950s|independent film|outlaw|trial,http://www.imdb.com/title/tt1754633/?ref_=fn_tt_tt_1,19,English,USA,Not Rated,2000000,2012,403,5.7,2.35,655
Black and White,Jonathan Wacks,13,93,,482,Gary Farmer,12000,,Comedy|Horror,Steve Buscemi,Ed and His Dead Mother ,1435,14620,Jon Gries,0,based on ed gein|dog|hyperactive|macabre|zombie,http://www.imdb.com/title/tt0106792/?ref_=fn_tt_tt_1,17,English,USA,PG-13,1800000,1993,580,6.1,1.78,266
Black and White,Fred Zinnemann,101,118,160,426,Donna Reed,862,,Drama|Romance|War,Montgomery Clift,From Here to Eternity ,33987,2247,Deborah Kerr,5,boxing|captain|hawaii|love|sergeant,http://www.imdb.com/title/tt0045793/?ref_=fn_tt_tt_1,150,English,USA,Not Rated,1650000,1953,488,7.8,1.37,0
Black and White,Jonathan Kesselman,35,87,4,624,Adam Goldberg,2000,19539,Comedy,Judy Greer,The Hebrew Hammer ,4182,6227,Tony Cox,1,blaxploitation|hanukkah|jewish|kwanzaa|santa claus,http://www.imdb.com/title/tt0317640/?ref_=fn_tt_tt_1,53,English,USA,R,1000000,2003,1000,6.2,1.85,3000
Black and White,Walter Lang,7,83,9,51,Nigel Bruce,94,,Drama|Family|Fantasy,Spring Byington,The Blue Bird ,1047,293,Gale Sondergaard,1,1800s|bird|blue bird of happiness|foreign language adaptation|past,http://www.imdb.com/title/tt0032264/?ref_=fn_tt_tt_1,25,English,USA,Approved,,1940,62,6.5,1.37,548
Black and White,Robert D. Webb,39,89,,102,Neville Brand,356,,Drama|Romance|Western,James Drury,Love Me Tender ,2636,831,Debra Paget,1,army|civil war|robbery|soldier|train,http://www.imdb.com/title/tt0049452/?ref_=fn_tt_tt_1,36,English,USA,,1000000,1956,110,6.2,2.35,365
Black and White,Guy Hamilton,12,94,82,47,Eddie Albert,694,,Drama,Oliver Reed,The Party's Over ,340,964,Louise Sorel,1,beatnik|businessman|necrophilia|party|partying,http://www.imdb.com/title/tt0060816/?ref_=fn_tt_tt_1,7,English,UK,,,1965,196,7.3,1.37,32
Black and White,Randy Moore,143,90,13,432,Lee Armstrong,977,169719,Fantasy|Horror,Trey Loney,Escape from Tomorrow ,7384,2483,Amy Lucas,0,diarrhea|female nudity|middle aged man|sex scene|sexy nurse,http://www.imdb.com/title/tt2187884/?ref_=fn_tt_tt_1,79,English,USA,Not Rated,,2013,511,5.2,1.85,0
Black and White,Morgan J. Freeman,17,86,204,474,Heather Matarazzo,659,334041,Crime|Drama|Romance,Edie Falco,Hurricane Streets ,1038,2322,Lynn Cohen,3,gang|new mexico|prison|smuggling|theft,http://www.imdb.com/title/tt0119338/?ref_=fn_tt_tt_1,21,English,USA,R,500000,1997,529,6.5,1.85,51
Black and White,Stacy Peralta,86,91,147,5,Jay Adams,22,1293295,Documentary|Sport,Tony Alva,Dogtown and Z-Boys ,10366,54,Jeff Ament,0,california|drought|playground|skateboarding|surfer,http://www.imdb.com/title/tt0275309/?ref_=fn_tt_tt_1,88,English,USA,PG-13,,2001,20,7.7,1.37,0
Black and White,Harry Beaumont,36,100,4,4,Bessie Love,77,2808000,Musical|Romance,Anita Page,The Broadway Melody ,4546,109,Charles King,8,sibling rivalry|singer|sister act|whistling|wisecrack humor,http://www.imdb.com/title/tt0019729/?ref_=fn_tt_tt_1,71,English,USA,Passed,379000,1929,28,6.3,1.37,167
