color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
,Brandon Landers,,143,8,8,Alana Kaniewski,720,,Drama|Horror|Thriller,Robbie Barnes,The Ridges ,125,770,Brandon Landers,0,avatar|college|death|tron|university,http://www.imdb.com/title/tt1781935/?ref_=fn_tt_tt_1,8,English,USA,,17350,2011,19,3.0,,33
,Pece Dingo,1,94,,87,Wilhelm von Homburg,156,,Horror,Michael Des Barres,Midnight Cabaret ,47,544,Thom Mathews,0,cigarette smoking|death|devil|nightmare|satanic cult,http://www.imdb.com/title/tt0100146/?ref_=fn_tt_tt_1,4,English,USA,R,,1990,102,4.5,,4
,Jonathan Meyers,1,111,,426,Luke Perry,657,,Drama,Justin Baldoni,A Fine Step ,207,2677,Leonor Varela,0,,http://www.imdb.com/title/tt1604100/?ref_=fn_tt_tt_1,1,,USA,PG,1000000,2014,608,5.3,,212
,Dave Rodriguez,9,98,11,636,Michael Rapaport,979,,Comedy|Drama,Chazz Palminteri,Once Upon a Time in Queens ,291,4036,Paul Sorvino,2,,http://www.imdb.com/title/tt1639397/?ref_=fn_tt_tt_1,7,English,USA,R,1500000,2013,975,6.3,1.89,283
,John Stockwell,2,90,134,354,T.J. Storm,260000,,Action,Matthew Ziff,Kickboxer: Vengeance ,246,261818,Sam Medina,5,,http://www.imdb.com/title/tt3082898/?ref_=fn_tt_tt_1,1,,USA,,17000000,2016,454,9.1,,0
,Jonas Åkerlund,33,96,68,722,Saffron Burrows,2000,,Comedy|Crime|Drama,Noel Gugliemi,Small Apartments ,5732,3683,Matt Lucas,6,fire investigator|landlord|suicide|talking to one's self in a mirror|turpentine,http://www.imdb.com/title/tt1272886/?ref_=fn_tt_tt_1,26,English,USA,R,2000000,2012,811,6.1,1.85,0
,Zackary Adler,10,110,,109,Kevin Leslie,490,,Crime|Drama,Simon Merrells,The Rise of the Krays ,1510,881,Kris Sommerville,0,,http://www.imdb.com/title/tt2945796/?ref_=fn_tt_tt_1,26,English,UK,R,2500000,2015,159,5.0,,0
,Darin Scott,7,95,39,375,Shantel VanSanten,1000,,Drama|Horror|Mystery|Thriller,Julian Morris,Something Wicked ,976,3024,John Robinson,2,eugene oregon|independent film|obsession,http://www.imdb.com/title/tt1327601/?ref_=fn_tt_tt_1,15,English,USA,R,3000000,2014,747,4.8,,395
,Charles Matthau,13,90,139,1000,Michael Jai White,2000,,Comedy|Crime|Thriller,Billy Burke,Freaky Deaky ,6741,6569,Bill Duke,0,black panties|bomb squad|car bomb|dynamite|girl in panties,http://www.imdb.com/title/tt0938305/?ref_=fn_tt_tt_1,11,English,USA,R,6000000,2012,2000,6.5,,0
,Wayne Wang,56,104,61,451,Russell Wong,974,1346503,Drama|History,Bingbing Li,Snow Flower and the Secret Fan ,3024,2430,Ji-hyun Jun,0,car hitting pedestrian|china|fan|nineteenth century|reversal of fortune,http://www.imdb.com/title/tt1541995/?ref_=fn_tt_tt_1,22,English,China,PG-13,6000000,2011,595,6.1,2.35,0
,Richard Rich,2,45,24,29,Kate Higgins,122,,Action|Adventure|Animation|Comedy|Drama|Family|Fantasy|Thriller,Debi Derryberry,Alpha and Omega 4: The Legend of the Saw Toothed Cave ,192,236,Cindy Robinson,0,blindness|cave|spirit|wolf|wolf cub,http://www.imdb.com/title/tt4061848/?ref_=fn_tt_tt_1,6,,USA,,7000000,2014,35,6,,41
,David Hackl,48,94,43,129,Michaela McManus,826,,Action|Horror|Thriller,Scott Glenn,Into the Grizzly Maze ,4486,1586,Luisa D'Oliveira,4,bear|breasts|female nudity|grizzly|wilderness,http://www.imdb.com/title/tt1694021/?ref_=fn_tt_tt_1,38,English,USA,R,10000000,2015,476,5.3,1.85,0
,Tung-Shing Yee,53,119,3,19,Daniel Wu,556,,Action|Crime|Drama|Thriller,Bingbing Fan,Shinjuku Incident ,9177,996,Yasuaki Kurata,4,chinese|gang|gratitude|immigrant|japan,http://www.imdb.com/title/tt1075419/?ref_=fn_tt_tt_1,53,Mandarin,Hong Kong,R,15000000,2009,353,7.1,2.35,821
,,14,60,,405,Dylan Walsh,654,,Drama|Mystery,Poppy Montgomery,Unforgettable ,12854,1906,Dallas Roberts,1,hyperthymesia|new york city|police,http://www.imdb.com/title/tt1842530/?ref_=fn_tt_tt_1,44,,USA,,,,426,6.7,,0
,Mario Van Peebles,7,100,535,399,Mario Van Peebles,668,,Action|Thriller,Martin Kove,Red Sky ,1084,2204,Jacob Vargas,0,exploding airplane|fighter pilot|hands tied|held at gunpoint|military,http://www.imdb.com/title/tt1946381/?ref_=fn_tt_tt_1,11,English,USA,PG-13,25000000,2014,535,4.1,,437
,Lasse Hallström,162,108,529,690,Henry Thomas,17000,80014842,Drama|Romance|War,Channing Tatum,Dear John ,104356,19945,Scott Porter,0,army|coin collector|love|surfboard|u.s. army,http://www.imdb.com/title/tt0989757/?ref_=fn_tt_tt_1,186,English,USA,PG-13,25000000,2010,861,6.3,2.35,14000
,,95,54,,,Royce Johnson,577,,Action|Adventure|Crime|Drama|Sci-Fi|Thriller,Elden Henson,Daredevil ,213483,581,Charlie Cox,0,corruption|lawyer|partnership|superhero|vigilante,http://www.imdb.com/title/tt3322312/?ref_=fn_tt_tt_1,394,English,USA,TV-MA,,,4,8.8,16,55000
,Christopher Barnard,,22,,,,5,,Comedy,Mathew Buck,"10,000 B.C. ",6,5,,0,,http://www.imdb.com/title/tt1869849/?ref_=fn_tt_tt_1,0,,,,,,0,7.2,,0
,Doug Walker,,,131,,Rob Walker,131,,Documentary,Doug Walker,Star Wars: Episode VII - The Force Awakens ,8,143,,0,,http://www.imdb.com/title/tt5289954/?ref_=fn_tt_tt_1,0,,,,,,12,7.1,,0
Black and White,Ivan Kavanagh,12,83,18,,Michael Parle,10,,Horror,Patrick O'Donnell,Tin Can Man ,57,15,Emma Eliza Regan,0,,http://www.imdb.com/title/tt1235811/?ref_=fn_tt_tt_1,1,English,Ireland,,10000,2007,5,6.7,1.33,105
